AUD,CAD,CHF,DKK,GBP,JPY,NOK,NZD,PLN,SEK,USDNEXTD
15.304,15.044,11.725,74.448,8.867,134.76,98.325,16.837,41.907,98.387,11.795
15.345,15.048,11.729,74.447,8.878,134.28,98.549,16.846,41.997,99,11.77
15.38,15.108,11.733,74.429,8.874,134.45,98.671,16.903,41.932,99.001,11.792
15.368,15.099,11.731,74.455,8.871,134.32,98.752,16.885,41.918,98.738,11.798
15.416,15.125,11.737,74.442,8.876,134.56,99.19,16.919,41.966,99.501,11.667
15.484,15.235,11.72,74.447,8.845,134.61,99.854,16.927,42.052,99.678,11.665
15.45,15.248,11.66,74.436,8.803,133.66,98.825,16.978,41.997,99.499,11.642
15.373,15.155,11.613,74.431,8.823,132.59,98.491,16.843,42.043,99.393,11.595
15.374,15.118,11.643,74.445,8.769,132.33,98.51,16.816,42.049,99.98,11.586
15.364,15.071,11.65,74.45,8.812,132.38,97.77,16.866,42.245,99.389,11.61
15.486,15.155,11.656,74.43,8.817,133.1,98.455,16.84,42.172,99.5,11.609
15.535,15.103,11.644,74.424,8.823,133.32,98.001,16.934,42.102,98.872,11.658
15.637,15.128,11.674,74.425,8.785,133.65,98.672,17.026,42.005,100.093,11.619
15.675,15.111,11.682,74.416,8.738,133.51,97.652,17.198,41.995,99.395,11.646
15.673,15.13,11.707,74.427,8.808,133.13,97.909,17.235,42.081,99.901,11.651
